marque,modele_version,cnit,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,carburant,etiquette_energie,bonus(-)/malus(_),type_2
RENAULT,"CLIO 5P 1.2L 16v QUICKSHIFT5 Roues 16""",MRE3122EY751,5.0,57.5,A 5,7.1,4.7,5.6,133.0,ES,C,-,MRE3122E
RENAULT,CLIO break 1.2L 16v  (80ch) QUICKSHIFT5 Eco2,MRE3124EJ925,5.0,57.5,A 5,7.1,4.7,5.6,133.0,ES,C,-,MRE3124E
RENAULT,CLIO break 1.2L 16v  QUICKSHIFT (75ch) Eco2,MRE3124EJ926,5.0,57.5,A 5,7.1,4.7,5.6,133.0,ES,C,-,MRE3124E
RENAULT,"CLIO break 1.2L 16v  QUICKSHIFT5  Roues 16""",MRE3134ES316,5.0,57.5,A 5,7.1,4.7,5.6,133.0,ES,C,-,MRE3134E
SMART,SMART FORFOUR 1.0L BVM5,MST1004CL313,4.0,47.0,M 5,7.2,4.7,5.6,133.0,ES,C,-,MST1004C
SMART,SMART FORFOUR 1.0L BVM5,MST1004CN315,4.0,47.0,M 5,7.2,4.7,5.6,133.0,ES,C,-,MST1004C
SMART,SMART FORFOUR 1.3L BVA6,MST3204C1278,5.0,70.0,A 6,7.3,4.6,5.6,133.0,ES,C,-,MST3204C
SMART,SMART FORFOUR 1.3L BVA6,MST3204C4281,5.0,70.0,A 6,7.3,4.6,5.6,133.0,ES,C,-,MST3204C
FIAT,Grande PUNTO 3P 1.4 8V,MFT1112HB996,5.0,57.0,M 5,6.8,5.0,5.7,134.0,ES,C,-,MFT1112H
FIAT,Grande PUNTO 3P 1.4L 8V Dualogic,MFT1111HT980,5.0,57.0,M 5,6.8,5.0,5.7,134.0,ES,C,-,MFT1111H
FIAT,Grande PUNTO 3P 1.4L 8V Dualogic,MFT1111HU981,5.0,57.0,M 5,6.8,5.0,5.7,134.0,ES,C,-,MFT1111H
HONDA,JAZZ 1.4 Pulse,MJH1202T8466,5.0,61.0,M 5,6.9,4.9,5.7,134.0,ES,C,-,MJH1202T
HONDA,JAZZ 1.4 Pulse,MJH1202TW454,5.0,61.0,M 5,6.9,4.9,5.7,134.0,ES,C,-,MJH1202T
RENAULT,MODUS 1.2L 16v (80ch) QUICKSHIFT5 Eco2,MRE3126SZ051,5.0,57.5,A 5,7.1,4.8,5.6,134.0,ES,C,-,MRE3126S
CITROEN,C3 1.4i 16V SensoDrive STT2,MCT3202P5948,5.0,65.0,A 5,6.9,4.9,5.7,135.0,ES,C,-,MCT3202P
RENAULT,TWINGO 1.2L 16v  QUICKSHIFT5,MRE3111FG699,5.0,55.0,A 5,7.6,4.8,5.7,135.0,ES,C,-,MRE3111F
RENAULT,Twingo 1.2L 16v (75ch) Eco2,MRE1121FD798,5.0,56.0,M 5,7.5,4.7,5.7,135.0,ES,C,-,MRE1121F
SMART,SMART FORFOUR 1.1L BVM5,MST1104CS285,5.0,55.0,M 5,7.3,4.8,5.7,135.0,ES,C,-,MST1104C
SMART,SMART FORFOUR 1.1L BVM5,MST1104CT286,5.0,55.0,M 5,7.3,4.8,5.7,135.0,ES,C,-,MST1104C
SMART,SMART FORFOUR 1.1L BVM5,MST1104CV288,5.0,55.0,M 5,7.3,4.8,5.7,135.0,ES,C,-,MST1104C
SMART,SMART FORFOUR 1.1L BVM5,MST1104CW289,5.0,55.0,M 5,7.3,4.8,5.7,135.0,ES,C,-,MST1104C
FIAT,PUNTO 3P 1.2L,MFT1011HV737,4.0,44.0,M 5,7.3,4.8,5.7,136.0,ES,C,-,MFT1011H
FIAT,PUNTO 5P 1.2L,MFT1012HL761,4.0,44.0,M 5,7.3,4.8,5.7,136.0,ES,C,-,MFT1012H
