marque,modele_version,cnit,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,carburant,etiquette_energie,bonus(-)/malus(+)
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSJ91,9,80.0,M 6,12.7,8.3,9.9,263.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BSK09,9,80.0,M 6,13.1,8.5,10.2,271.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BTC99,9,80.0,M 6,12.2,8.1,9.6,255.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BTE79,9,80.0,M 6,11.9,7.8,9.3,247.0,GO,F,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BTE88,9,80.0,M 6,12.2,8.1,9.6,255.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BTE97,9,80.0,M 6,12.7,8.3,9.9,263.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BTI39,9,80.0,M 6,13.3,8.7,10.4,276.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BTI57,9,80.0,M 6,12.1,8.0,9.5,252.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BTI66,9,80.0,M 6,12.3,8.2,9.7,258.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BTI75,9,80.0,M 6,12.7,8.3,9.9,263.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BTI84,9,80.0,M 6,12.9,8.5,10.1,268.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BTI93,9,80.0,M 6,13.1,8.5,10.2,271.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BTJ38,9,80.0,M 6,12.2,8.1,9.6,255.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BTJ47,9,80.0,M 6,12.9,8.5,10.1,268.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BTJ56,9,80.0,M 6,13.3,8.7,10.4,276.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BTJ74,9,80.0,M 6,12.1,8.0,9.5,252.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BTJ83,9,80.0,M 6,12.3,8.2,9.7,258.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BTJ92,9,80.0,M 6,12.7,8.3,9.9,263.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BUE89,9,80.0,M 6,12.3,8.2,9.7,258.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BUE98,9,80.0,M 6,12.7,8.3,9.9,263.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BUI58,9,80.0,M 6,12.1,8.0,9.5,252.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BUI67,9,80.0,M 6,12.3,8.2,9.7,258.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BUI76,9,80.0,M 6,12.7,8.3,9.9,263.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BUI85,9,80.0,M 6,12.8,8.2,9.9,263.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BUI94,9,80.0,M 6,13.1,8.5,10.2,271.0,GO,G,+ 2600
